epoch,accuracy,loss,val_accuracy,val_loss
0,0.5042740106582642,1.706303358078003,0.49908000230789185,0.6991481184959412
1,0.5330759882926941,0.698067307472229,0.6463599801063538,0.6723682880401611
2,0.682295024394989,0.6060516834259033,0.721780002117157,0.5290751457214355
3,0.7314710021018982,0.5124131441116333,0.7501299977302551,0.48739153146743774
4,0.7685449719429016,0.4583553969860077,0.7895799875259399,0.42448046803474426
5,0.7862629890441895,0.4314725697040558,0.7941499948501587,0.4179859459400177
6,0.8061379790306091,0.3931911587715149,0.8223099708557129,0.36597970128059387
7,0.8306540250778198,0.35057252645492554,0.8348699808120728,0.3454911708831787
8,0.8422669768333435,0.3296133875846863,0.8438299894332886,0.3252984583377838
9,0.8470150232315063,0.3200441300868988,0.8058199882507324,0.3896061182022095
10,0.8368880152702332,0.3389734625816345,0.8460000157356262,0.32309821248054504
11,0.8513590097427368,0.31190025806427,0.8532099723815918,0.31037306785583496
12,0.8574780225753784,0.30070698261260986,0.8521999716758728,0.31156015396118164
13,0.8620259761810303,0.29196494817733765,0.857479989528656,0.3049675524234772
14,0.8643119931221008,0.2877272069454193,0.8569599986076355,0.30135172605514526
15,0.8666539788246155,0.2839120626449585,0.8595700263977051,0.29966890811920166
16,0.8689339756965637,0.2787407636642456,0.8606399893760681,0.29617956280708313
17,0.8670830130577087,0.2811336815357208,0.8581399917602539,0.2982493042945862
18,0.8676400184631348,0.28031349182128906,0.8575299978256226,0.300855427980423
19,0.8715620040893555,0.2727545499801636,0.8628000020980835,0.2928818464279175
20,0.8728020191192627,0.2708742022514343,0.8609099984169006,0.2940308749675751
21,0.8747050166130066,0.26685449481010437,0.8632799983024597,0.29105907678604126
22,0.8749319911003113,0.266663521528244,0.8629900217056274,0.292171448469162
23,0.8761230111122131,0.264396995306015,0.8633000254631042,0.2902756929397583
24,0.8783149719238281,0.2602357864379883,0.863860011100769,0.2892089784145355
25,0.8761579990386963,0.2639695703983307,0.8625699877738953,0.29049721360206604
26,0.8768690228462219,0.26208242774009705,0.8631899952888489,0.2880687713623047
27,0.8782039880752563,0.25981950759887695,0.8652799725532532,0.2881692051887512
28,0.8802710175514221,0.2556106448173523,0.8632599711418152,0.29013770818710327
29,0.8813740015029907,0.25421658158302307,0.8635200262069702,0.29327401518821716
30,0.8809829950332642,0.25445452332496643,0.863569974899292,0.28936126828193665
31,0.882748007774353,0.25141239166259766,0.8670600056648254,0.28680092096328735
32,0.8836699724197388,0.2493688464164734,0.8677399754524231,0.28405997157096863
33,0.8838539719581604,0.24793130159378052,0.8655999898910522,0.28656092286109924
34,0.8841360211372375,0.2470933198928833,0.8646199703216553,0.2877989411354065
35,0.8855230212211609,0.24429349601268768,0.8682500123977661,0.28570085763931274
36,0.8865789771080017,0.24304525554180145,0.8616399765014648,0.29579925537109375
37,0.8840180039405823,0.24741387367248535,0.8639699816703796,0.2919999063014984
38,0.8844220042228699,0.2455955594778061,0.8649399876594543,0.29364675283432007
39,0.8817459940910339,0.2519810199737549,0.8685600161552429,0.2853977680206299
40,0.8856390118598938,0.24446004629135132,0.8670799732208252,0.28821438550949097
41,0.8872380256652832,0.24165204167366028,0.8674700260162354,0.2837629020214081
42,0.8884890079498291,0.23821136355400085,0.8673099875450134,0.2857261598110199
43,0.8894789814949036,0.23605215549468994,0.8679599761962891,0.2842239439487457
44,0.8899019956588745,0.23508800566196442,0.867900013923645,0.2839308977127075
